주제,키워드,순위,순위변동,변동출처,지난순위,비중%
맛집,맘스터치 귀멸의칼날,1,0,네이버,,0.160
맛집,치폴레 강남,2,0,네이버,,0.125
맛집,치폴레,3,1,네이버,,0.078
맛집,이디야 산리오,4,96,네이버,,0.073
맛집,메가커피 하우스밀크라떼,5,,처음,,0.057
맛집,맘스터치 귀칼,6,-3,네이버,,0.054
맛집,한정선 찹쌀떡,7,0,네이버,,0.052
맛집,한정선,8,-2,네이버,,0.044
맛집,리아불고기레드,9,,처음,,0.040
맛집,한정선 요거트 찹쌀떡 gs,10,34,네이버,,0.037
맛집,피자설기,11,6,네이버,,0.036
맛집,화이트리에 초코식빵,12,0,네이버,,0.031
맛집,한정선 요거트 찹쌀떡,13,73,네이버,,0.031
맛집,gs 한정선,14,,처음,,0.030
맛집,강남 치폴레,15,-6,네이버,,0.028
맛집,쿠차라,16,2,네이버,,0.027
맛집,동탄 창억떡,17,6,네이버,,0.027
맛집,빕스,18,-2,네이버,,0.027
맛집,성심당 빵 추천,19,-5,네이버,,0.025
맛집,이디야 산리오 한복,20,,처음,,0.024
국내여행,두리랜드,1,0,네이버,,0.320
국내여행,치폴레 강남,2,,처음,,0.188
국내여행,여의도 불꽃축제,3,-1,네이버,,0.172
국내여행,치폴레,4,,처음,,0.128
국내여행,불꽃축제,5,-2,네이버,,0.092
국내여행,2026 여의도 불꽃축제 시간,6,8,네이버,,0.079
국내여행,강릉 가볼만한곳,7,-2,네이버,,0.078
국내여행,무주 반딧불축제,8,4,네이버,,0.066
국내여행,천안 k컬쳐 박람회,9,-5,네이버,,0.062
국내여행,성심당,10,-3,네이버,,0.060
국내여행,여수 가볼만한곳,11,-1,네이버,,0.059
국내여행,전주 가볼만한곳,12,7,네이버,,0.057
국내여행,연천 호로고루,13,-2,네이버,,0.057
국내여행,속초 가볼만한곳,14,-6,네이버,,0.057
국내여행,서울 가볼만한곳,15,9,네이버,,0.053
국내여행,대전 가볼만한곳,16,-1,네이버,,0.053
국내여행,추석 기차표 예매,17,-11,네이버,,0.051
국내여행,여의도 불꽃축제 명당,18,-2,네이버,,0.051
국내여행,화담숲,19,-6,네이버,,0.049
국내여행,이촌한강공원 불꽃축제,20,3,네이버,,0.049
패션·미용,김고은 중단발 거지존 화제,1,,처음,,0.531
패션·미용,김고은 르메르 패션 호불호 논란,2,,처음,,0.375
패션·미용,"김태리 일본 여행룩, 1000만원대 시계 주목",3,,처음,,0.243
패션·미용,이다영 수영복 사진 일본 화제,4,,처음,,0.228
패션·미용,문의 폭주한 여배우 사복 정보,5,,처음,,0.193
패션·미용,"지예은♥바타, 12월 결혼과 데이트룩",6,,처음,,0.120
패션·미용,정소민 파리 출국길 공항 패션,7,,처음,,0.105
패션·미용,"윤아 샤넬, 제니와 다른 매력",8,,처음,,0.086
패션·미용,이다영 수영복 근황 일본 주목,9,2,네이버,,0.084
패션·미용,px 화장품,10,-2,네이버,,0.083
패션·미용,"장원영 입국 공항패션, 5만원대 티셔츠",11,,처음,,0.079
패션·미용,"혜리, 지수에게 받은 디올 카드지갑",12,,처음,,0.079
패션·미용,"하지원 패션, 변함없는 미모 화제",13,,처음,,0.078
패션·미용,"아디다스X제니, 역대급 품절 근황",14,,처음,,0.076
패션·미용,"곽시양 유지애, 11월 결혼 확정",15,,처음,,0.067
패션·미용,유니클로 후드립T,16,-1,네이버,,0.066
패션·미용,이다영 수영복 사진 화제,17,,처음,,0.064
패션·미용,"지예은♥바타, 12월 결혼 및 데이트룩",18,,처음,,0.061
패션·미용,올리브영 세일,19,3,네이버,,0.058
패션·미용,"고경표, 40만원대 나이키 부츠",20,,처음,,0.054
세계여행,비짓재팬,1,0,네이버,,0.213
세계여행,돈키호테 추천템,2,0,네이버,,0.106
세계여행,후쿠오카 쇼핑,3,1,네이버,,0.051
세계여행,후쿠오카 여행,4,1,네이버,,0.049
세계여행,여권 재발급,5,1,네이버,,0.047
세계여행,비짓재팬 등록방법,6,2,네이버,,0.043
세계여행,오사카 가볼만한곳,7,0,네이버,,0.039
세계여행,베트남 입국신고서,8,1,네이버,,0.034
세계여행,돈키호테 할인쿠폰,9,1,네이버,,0.033
세계여행,중국 입국신고서,10,11,네이버,,0.030
세계여행,오키나와,11,0,네이버,,0.030
세계여행,칼디 추천템,12,3,네이버,,0.030
세계여행,트래블월렛,13,6,네이버,,0.029
세계여행,오사카 여행,14,0,네이버,,0.029
세계여행,대만 입국신고서,15,3,네이버,,0.028
세계여행,후쿠오카 쇼핑리스트,16,-3,네이버,,0.028
세계여행,대마도 여행,17,0,네이버,,0.027
세계여행,후쿠오카 가볼만한곳,18,6,네이버,,0.026
세계여행,후쿠오카 날씨,19,36,네이버,,0.026
세계여행,오사카 쇼핑,20,-8,네이버,,0.026
상품리뷰,민음사 빵,1,0,네이버,,0.165
상품리뷰,이디야 산리오,2,2,네이버,,0.119
상품리뷰,메가커피 오르조라떼,3,,처음,,0.092
상품리뷰,코스트코 9월 첫째주 할인,4,-2,네이버,,0.055
상품리뷰,메가커피 하우스밀크라떼,5,,처음,,0.052
상품리뷰,브랜든 헬로키티,6,-3,네이버,,0.040
상품리뷰,민음사 책갈피,7,6,네이버,,0.039
상품리뷰,코스트코 꽃게,8,10,네이버,,0.039
상품리뷰,"다이소, 생각지도 못한 이색 제품 발견",9,,처음,,0.036
상품리뷰,코스트코 할인,10,6,네이버,,0.036
상품리뷰,다이소 유청분리기,11,-2,네이버,,0.035
상품리뷰,gs25 한정선,12,,처음,,0.034
상품리뷰,한정선 요거트 찹쌀떡 gs,13,51,네이버,,0.033
상품리뷰,릴 하이브리드 4.0,14,1,네이버,,0.031
상품리뷰,코스트코 추천상품,15,-3,네이버,,0.031
상품리뷰,민음사빵,16,-8,네이버,,0.027
상품리뷰,gs 한정선,17,,처음,,0.025
상품리뷰,px 추천템,18,3,네이버,,0.023
상품리뷰,버거킹,19,31,네이버,,0.022
상품리뷰,민음사 빵 책갈피 종류,20,2,네이버,,0.021
육아·결혼,이마트 고래잇 9월,1,0,네이버,,0.095
육아·결혼,출산지원금,2,1,네이버,,0.047
육아·결혼,임신 극초기증상,3,-1,네이버,,0.044
육아·결혼,2027 출산지원금,4,3,네이버,,0.038
육아·결혼,고딩엄빠 아내 14세 첫 출산,5,,처음,,0.030
육아·결혼,bcg 경피용 비소,6,,처음,,0.030
육아·결혼,수족구 초기증상,7,-2,네이버,,0.029
육아·결혼,bcg 비소,8,,처음,,0.029
육아·결혼,2026 독감예방접종,9,8,네이버,,0.028
육아·결혼,bcg 경피용,10,,처음,,0.028
육아·결혼,진실이네 빛소금,11,,처음,,0.024
육아·결혼,남대문 아동복,12,-4,네이버,,0.024
육아·결혼,아동수당,13,-2,네이버,,0.024
육아·결혼,이디야 산리오,14,,처음,,0.022
육아·결혼,아기 뒤집기 시기,15,3,네이버,,0.022
육아·결혼,착상혈,16,-4,네이버,,0.021
육아·결혼,출산가방 리스트,17,-7,네이버,,0.021
육아·결혼,두리랜드,18,-12,네이버,,0.020
육아·결혼,원더윅스,19,-4,네이버,,0.019
육아·결혼,쥬빌리브라이드,20,,처음,,0.019
일상·생각,자코모 퀴즈,1,,처음,,0.222
일상·생각,이마트 고래잇 9월,2,7,네이버,,0.157
일상·생각,아이코스 비브,3,11,네이버,,0.144
일상·생각,토스 두근두근 1등 9월3일,4,,처음,,0.083
일상·생각,윤남노 복담주,5,2,네이버,,0.076
일상·생각,이디야 산리오,6,4,네이버,,0.070
일상·생각,배우 전혜원 동생,7,,처음,,0.068
일상·생각,맘스터치 귀칼,8,30,네이버,,0.065
일상·생각,토스 두근두근 1등찍기 9월3일,9,,처음,,0.056
일상·생각,민음사 빵,10,31,네이버,,0.051
일상·생각,코스트코,11,53,네이버,,0.051
일상·생각,메가커피 하우스밀크라떼,12,,처음,,0.048
일상·생각,자코모퀴즈,13,,처음,,0.043
일상·생각,치폴레,14,-9,네이버,,0.042
일상·생각,이마트 전단,15,4,네이버,,0.039
일상·생각,기후동행패스,16,-12,네이버,,0.039
일상·생각,15887788,17,-9,네이버,,0.038
일상·생각,아이코스 비브 후기,18,,처음,,0.038
일상·생각,두근두근1등찍기9월3일,19,,처음,,0.034
일상·생각,이재명 지지율,20,,처음,,0.033
비즈니스·경제,키움증권 보물상자,1,2,네이버,,0.318
비즈니스·경제,청년미래적금,2,0,네이버,,0.284
비즈니스·경제,4차 민생지원금,3,5,네이버,,0.275
비즈니스·경제,케이뱅크 돈나무,4,2,네이버,,0.254
비즈니스·경제,키움 보물상자,5,0,네이버,,0.234
비즈니스·경제,엔화 환율,6,-5,네이버,,0.218
비즈니스·경제,추석 민생지원금,7,6,네이버,,0.180
비즈니스·경제,용혜인,8,2,네이버,,0.158
비즈니스·경제,근로·자녀장려금 내용,9,-5,네이버,,0.138
비즈니스·경제,k패스 모두의카드,10,4,네이버,,0.138
비즈니스·경제,기후동행패스,11,5,네이버,,0.121
비즈니스·경제,민생지원금,12,8,네이버,,0.111
비즈니스·경제,브라운스톤 목동,13,27,네이버,,0.104
비즈니스·경제,환율,14,43,네이버,,0.103
비즈니스·경제,2026 근로장려금,15,-3,네이버,,0.095
비즈니스·경제,삼성전자 주가,16,3,네이버,,0.092
비즈니스·경제,토스 1등찍기,17,,처음,,0.090
비즈니스·경제,청년미래적금 3년 2255만원 조건,18,,처음,,0.089
비즈니스·경제,펩트론,19,10,네이버,,0.081
비즈니스·경제,맘스터치 귀멸의칼날,20,3,네이버,,0.078
요리·레시피,무화과 먹는법,1,0,네이버,,0.278
요리·레시피,제육볶음 레시피,2,0,네이버,,0.224
요리·레시피,콩나물무침,3,0,네이버,,0.218
요리·레시피,미역국 끓이는법,4,1,네이버,,0.204
요리·레시피,꽃게탕 레시피,5,1,네이버,,0.191
요리·레시피,고구마줄기 볶음,6,1,네이버,,0.185
요리·레시피,메추리알장조림,7,-3,네이버,,0.172
요리·레시피,꽃게찌는법,8,9,네이버,,0.160
요리·레시피,미역줄기볶음,9,3,네이버,,0.150
요리·레시피,닭볶음탕 레시피,10,-2,네이버,,0.149
요리·레시피,오징어볶음 레시피,11,0,네이버,,0.146
요리·레시피,순두부찌개 레시피,12,2,네이버,,0.133
요리·레시피,깻잎 양념장,13,-3,네이버,,0.133
요리·레시피,가지요리,14,1,네이버,,0.133
요리·레시피,소갈비찜 레시피,15,42,네이버,,0.130
요리·레시피,오이무침,16,-7,네이버,,0.128
요리·레시피,진미채볶음,17,-4,네이버,,0.125
요리·레시피,닭볶음탕,18,2,네이버,,0.121
요리·레시피,돼지갈비찜 레시피,19,5,네이버,,0.119
요리·레시피,콩나물국,20,3,네이버,,0.118
건강·의학,무화과 효능,1,0,네이버,,0.160
건강·의학,마그네슘 효능,2,1,네이버,,0.097
건강·의학,왼쪽 아랫배 통증,3,4,네이버,,0.086
건강·의학,코로나 재유행,4,19,네이버,,0.081
건강·의학,췌장암 초기증상,5,,처음,,0.080
건강·의학,당뇨 초기증상,6,-1,네이버,,0.078
건강·의학,코로나,7,-3,네이버,,0.077
건강·의학,제로네이트,8,26,네이버,,0.076
건강·의학,마운자로 가격,9,2,네이버,,0.070
건강·의학,코로나 증상,10,-4,네이버,,0.069
건강·의학,보건증 발급,11,-1,네이버,,0.069
건강·의학,발바닥 통증,12,1,네이버,,0.066
건강·의학,빈대,13,33,네이버,,0.061
건강·의학,왼쪽 옆구리 통증,14,0,네이버,,0.061
건강·의학,오른쪽 옆구리 통증,15,1,네이버,,0.058
건강·의학,커큐민 효능,16,-1,네이버,,0.055
건강·의학,이용주,17,70,네이버,,0.053
건강·의학,뇌경색 전조증상,18,0,네이버,,0.052
건강·의학,대상포진증상,19,-11,네이버,,0.051
건강·의학,오른쪽 아랫배 통증,20,8,네이버,,0.051
교육·학문,용혜인,1,5,네이버,,0.820
교육·학문,용해인,2,12,네이버,,0.203
교육·학문,용혜인 프로필,3,12,네이버,,0.136
교육·학문,박위 다친 이유,4,25,네이버,,0.115
교육·학문,박위,5,23,네이버,,0.102
교육·학문,2026 9모 답지,6,-1,네이버,,0.088
교육·학문,2026 9모 등급컷,7,-6,네이버,,0.087
교육·학문,2026학년도 9모,8,0,네이버,,0.081
교육·학문,2027 9모 등급컷,9,-5,네이버,,0.069
교육·학문,수능 원서 접수 기간,10,53,네이버,,0.059
교육·학문,9모 답지,11,-8,네이버,,0.059
교육·학문,용혜인 장관,12,15,네이버,,0.055
교육·학문,가천대 수시등급,13,69,네이버,,0.055
교육·학문,산업안전기사,14,17,네이버,,0.055
교육·학문,2026 고1 9모,15,-2,네이버,,0.054
교육·학문,초등돌봄전담사,16,,처음,,0.054
교육·학문,2026년 9월 고1 모의고사,17,-10,네이버,,0.050
교육·학문,2026 고2 9모,18,1,네이버,,0.045
교육·학문,경북대 수시등급,19,,처음,,0.045
교육·학문,사회복지사2급,20,33,네이버,,0.044
IT·컴퓨터,아이폰18,1,0,네이버,,0.477
IT·컴퓨터,아이폰 폴더블,2,1,네이버,,0.387
IT·컴퓨터,아이폰18프로,3,1,네이버,,0.358
IT·컴퓨터,아이폰18 출시일,4,-2,네이버,,0.331
IT·컴퓨터,아이폰 18프로,5,2,네이버,,0.226
IT·컴퓨터,이모티콘 플러스 해지,6,2,네이버,,0.176
IT·컴퓨터,아이폰 18 출시일,7,-2,네이버,,0.160
IT·컴퓨터,아이폰 18,8,-2,네이버,,0.144
IT·컴퓨터,k패스 모두의카드,9,36,네이버,,0.104
IT·컴퓨터,기아 PV7 보조금 2천만 원대?,10,,처음,,0.103
IT·컴퓨터,아이폰18 사전예약,11,1,네이버,,0.096
IT·컴퓨터,아이폰 폴드,12,2,네이버,,0.092
IT·컴퓨터,갤럭시핏4,13,7,네이버,,0.077
IT·컴퓨터,아이폰18 폴더블,14,-5,네이버,,0.068
IT·컴퓨터,갤럭시 폴드8,15,3,네이버,,0.067
IT·컴퓨터,에어팟 프로 4세대,16,3,네이버,,0.064
IT·컴퓨터,유튜브 프리미엄,17,0,네이버,,0.063
IT·컴퓨터,아이폰17프로,18,4,네이버,,0.063
IT·컴퓨터,마이크로덕,19,-9,네이버,,0.058
IT·컴퓨터,아이폰 폴더블 출시일 및 예상 가격,20,,처음,,0.049
인테리어·DIY,다이소 마성의 신상템 출시,1,,처음,,0.439
인테리어·DIY,코스트코,2,-1,네이버,,0.195
인테리어·DIY,코스트코 회원권,3,0,네이버,,0.092
인테리어·DIY,"다이소, 생각지도 못한 이색 제품 발견",4,,처음,,0.091
인테리어·DIY,노브랜드 추천상품,5,-3,네이버,,0.080
인테리어·DIY,이불 버리는 방법,6,-2,네이버,,0.065
인테리어·DIY,"다이소, 지갑 열게 만드는 꿀템",7,,처음,,0.053
인테리어·DIY,"다이소 신상 출시, 지금 바로 구매 필수",8,,처음,,0.051
인테리어·DIY,코스트코 추천상품,9,-1,네이버,,0.050
인테리어·DIY,트레이더스,10,0,네이버,,0.044
인테리어·DIY,코스트코 9월 첫째주 할인,11,-2,네이버,,0.043
인테리어·DIY,에어컨 물떨어짐,12,-6,네이버,,0.041
인테리어·DIY,임신 극초기증상,13,4,네이버,,0.034
인테리어·DIY,트레이더스 추천,14,-3,네이버,,0.034
인테리어·DIY,코스트코 할인,15,0,네이버,,0.032
인테리어·DIY,삼성닷컴 온누리 신청,16,13,네이버,,0.028
인테리어·DIY,이마트 트레이더스,17,1,네이버,,0.028
인테리어·DIY,다이소 놓치면 후회할 추천템,18,,처음,,0.028
인테리어·DIY,코스트코 추천,19,-7,네이버,,0.027
인테리어·DIY,모듈러주택,20,-4,네이버,,0.027
자동차,"기아 EV3 2,262만원, 구매 조건 확인",1,,처음,,0.307
자동차,"쏘렌토 2027 블랙에디션 출시, 4441만 원부터",2,,처음,,0.295
자동차,투싼 풀체인지,3,-2,네이버,,0.271
자동차,pv7,4,-2,네이버,,0.229
자동차,운전면허증 갱신,5,1,네이버,,0.206
자동차,테슬라 모델y,6,1,네이버,,0.184
자동차,"쏘렌토 2027 블랙에디션, 4441만 원부터",7,,처음,,0.167
자동차,gv90 가격,8,-4,네이버,,0.141
자동차,gv90,9,13,네이버,,0.139
자동차,BYD 사고 수리비 폭탄 및 AS 실태,10,,처음,,0.130
자동차,ev3,11,7,네이버,,0.115
자동차,폴스타4,12,8,네이버,,0.106
자동차,"기아 PV7, 9월 14일 공개",13,,처음,,0.102
자동차,제네시스 gv90,14,3,네이버,,0.097
자동차,쏘렌토 풀체인지,15,0,네이버,,0.097
자동차,투싼,16,-6,네이버,,0.095
자동차,싼타페 페이스리프트,17,2,네이버,,0.094
자동차,gv80 하이브리드,18,-7,네이버,,0.093
자동차,"제네시스 GV80, 3250만 원 중고차",19,,처음,,0.093
자동차,"사전계약 3,000대 돌파 플래그십 전기차",20,,처음,,0.092
스타·연예인,이다영 수영복 근황 일본 주목,1,0,네이버,,1.203
스타·연예인,곽시양 임현주,2,,처음,,0.789
스타·연예인,"현빈♥손예진, 日 도쿄 아들과 함께",3,,처음,,0.672
스타·연예인,곽시양 유지애 11월 결혼식,4,,처음,,0.647
스타·연예인,"부산 추락사 유족, KBS에 답 요구",5,,처음,,0.610
스타·연예인,이다영 수영복 사진 일본 화제,6,,처음,,0.501
스타·연예인,"이종석, 7년 만 로맨스 불발",7,,처음,,0.438
스타·연예인,배우 전혜원 동생,8,,처음,,0.415
스타·연예인,곽시양 유지애 11월 28일 결혼,9,,처음,,0.409
스타·연예인,"곽시양 유지애, 11월 결혼 확정",10,,처음,,0.379
스타·연예인,"지예은·바타, 결혼 성지글 현실화",11,-5,네이버,,0.356
스타·연예인,지예은,12,3,네이버,,0.328
스타·연예인,지예은 바타,13,-6,네이버,,0.320
스타·연예인,"지예은♥바타, 교회 목격담 성지화",14,19,네이버,,0.311
스타·연예인,정백연 리우웬,15,5,네이버,,0.291
스타·연예인,바타,16,-13,네이버,,0.272
스타·연예인,"곽시양 유지애, 11월 결혼 발표",17,,처음,,0.251
스타·연예인,"곽시양 유지애, 11월 28일 결혼",18,,처음,,0.218
스타·연예인,곽시양 유지애 결혼,19,,처음,,0.215
스타·연예인,고딩엄빠 아내 14세 첫 출산,20,,처음,,0.214
취미,굿닥터 보육원 봉사 신청,1,,처음,,0.180
취미,맘스터치 귀멸의칼날,2,5,네이버,,0.109
취미,올팜 맞팜,3,0,네이버,,0.100
취미,카뱅 ai 퀴즈 정답 9월3일,4,,처음,,0.090
취미,맥플랜 쉐이크 퀴즈,5,,처음,,0.082
취미,삼목항 꽃게,6,5,네이버,,0.079
취미,카카오뱅크 ai퀴즈 9월3일,7,,처음,,0.077
취미,맘스터치 귀칼,8,,처음,,0.073
취미,카뱅 이모지 퀴즈 9월3일,9,,처음,,0.068
취미,로프트 팝업,10,3,네이버,,0.064
취미,이디야 산리오,11,-1,네이버,,0.064
취미,카카오 ai 퀴즈 9월3일,12,,처음,,0.060
취미,비짓재팬,13,,처음,,0.057
취미,굿닥터 봉사활동,14,,처음,,0.056
취미,토스 1등찍기,15,,처음,,0.042
취미,이디야 포차코,16,77,네이버,,0.042
취미,코어리그,17,,처음,,0.042
취미,쭈꾸미 낚시,18,-17,네이버,,0.036
취미,쭈꾸미낚시,19,-17,네이버,,0.033
취미,카카오뱅크 ai퀴즈 9월 3일,20,,처음,,0.031
스포츠,이다영 수영복 사진 화제,1,,처음,,3.383
스포츠,최지만 KBO ABS 향해 작심 발언,2,,처음,,0.945
스포츠,안세영과 김연아의 인기 차이 원인,3,,처음,,0.920
스포츠,아라키 아카네,4,,처음,,0.733
스포츠,"한화 14경기 1승, 김경문 감독 책임론",5,,처음,,0.533
스포츠,안세영과 김연아의 인기 차이 분석,6,,처음,,0.501
스포츠,이강인 라리가 이적료 BEST 11 선정,7,,처음,,0.445
