영상제목,영상주소,작성자,댓글,좋아요,날짜,답글초안
원하는거 다 만들어줌ㅋ 🤖✨ 뱀부랩 3D 프린터 활용법!,https://youtu.be/RxxLAkOcNJA,@woosoorimi,울 차혀니가 넘 좋아하는 3D 프린터! (아빠도 엄청 신났어요 ㅎㅎㅎ) 맞춤형 선물 공장부터 깔끔한 집 정리까지~ 여러분도 뱀부랩으로 상상하던 모든 것을 쉽게 만들어 보세요! 👍 🔗 Bambu lab P2S-Combo: https://tidd.ly/3RxmJY5 🔗 Bambu lab PLA Pure: https://tidd.ly/4wNQdjA,145,2026-07-24,차녀님이 좋아하시면 진짜 최고네요! 아빠도 신나시다니 저도 기분 좋아지네요 😊
원하는거 다 만들어줌ㅋ 🤖✨ 뱀부랩 3D 프린터 활용법!,https://youtu.be/RxxLAkOcNJA,@mollu6706,이런 모습 보니까 진짜 기분 좋다 ㅎㅎ 우리 애들도 저렇게 자라면 좋겠네~ 차혀니 계속 행복하길! >_<,0,2026-07-30,귀여운 아이들 모습이 정말 따뜻하네요! 😊 저도 그런 뱀부랩으로 아이들이 좋아할 장난감 만들어보고 싶어요.
원하는거 다 만들어줌ㅋ 🤖✨ 뱀부랩 3D 프린터 활용법!,https://youtu.be/RxxLAkOcNJA,@YasmeenKhan-u2x,Rida,0,2026-07-29,Rida 님도 3D 프린터로 원하는 작품 만들어보시면 재미있더라고요! 😊
원하는거 다 만들어줌ㅋ 🤖✨ 뱀부랩 3D 프린터 활용법!,https://youtu.be/RxxLAkOcNJA,@dancewithspark_07,Woooooooow🎉🎉,0,2026-07-29,와~ 반응이 이렇게 좋다니 기분이 참 좋네요!
원하는거 다 만들어줌ㅋ 🤖✨ 뱀부랩 3D 프린터 활용법!,https://youtu.be/RxxLAkOcNJA,@soya-q7r,종류가 생각한것 보다 더 많아서 좋당,1,2026-07-27,그 다양함이 가장 큰 매력이네요! 😄
뱀부랩 3D 프린터 200% 활용법 🤖✨ 우리집 생활 꿀템 무한 생성 ♾️ Bambu lab P2S-Combo & PLA Pure,https://youtu.be/Jz6bF6CAViw,@woosoorimi,울 차혀니가 넘 좋아하는 3D 프린터! (아빠도 엄청 신났어요 ㅎㅎㅎ) 맞춤형 선물 공장부터 깔끔한 집 정리까지~ 여러분도 뱀부랩으로 상상하던 모든 것을 쉽게 만들어 보세요! 👍 🔗 Bambu lab P2S-Combo: https://tidd.ly/3RxmJY5 🔗 Bambu lab PLA Pure: https://tidd.ly/4wNQdjA,118,2026-07-24,아이가 좋아하는 거 보면 저도 기분 좋아지네요! 맞춤 선물까지 만들어주는 건 정말 편하더라고요 😊
뱀부랩 3D 프린터 200% 활용법 🤖✨ 우리집 생활 꿀템 무한 생성 ♾️ Bambu lab P2S-Combo & PLA Pure,https://youtu.be/Jz6bF6CAViw,@jaekkuki,퀄리티 미쳤다ㄷㄷ 나도 집에서 3D 프린터로 바로 뽑아보고 싶음 ㅋㅋㅋ 🤖✨,0,2026-07-29,"와, 퀄리티 진짜 멋지네요! 저도 집에서 바로 프린트해보고 싶어지네요. 😄"
뱀부랩 3D 프린터 200% 활용법 🤖✨ 우리집 생활 꿀템 무한 생성 ♾️ Bambu lab P2S-Combo & PLA Pure,https://youtu.be/Jz6bF6CAViw,@6_6-f4z,3D 프린터는 볼때마다 신기해요 차현이 신나보임ㅋㅋㅋ귀여워,0,2026-07-28,차현이 표정 진짜 귀여워 보이네요~ 저도 보면서 웃음 나왔어요! 😄
"😆 꺄르르 텐션 폭발, 차혀니 💘 스마트폰 뺏던 아빠의 반전 선물은? 🎁",https://youtu.be/QkGEo0eDN2k,@히오치,차현이너무 귀여워서 볼 때마다 기분 좋아져용~~ ㅎㅎㅎ 차혀니 라뷰❤️,0,2026-07-20,"차현이는 진짜 귀여움이 넘치네요~ 라뷰까지 해주시다니, 보는 사람까지 기분 좋아지더라고요! 😊"
"😆 꺄르르 텐션 폭발, 차혀니 💘 스마트폰 뺏던 아빠의 반전 선물은? 🎁",https://youtu.be/QkGEo0eDN2k,@간장밥-x3h,온 가족이 템으로 즐겁고 알찬 시간 보낸듯 실용적인 제품들 많아 보임,0,2026-07-19,"네, 제품 선택이 정말 실용적이네요! 가족 모두가 즐거워하는 모습이 보기 좋더라고요 😊"
